Time (us),ADC1,ADC2
450511,0.550,1.201
452040,1.646,0.962
453578,1.055,1.724
455087,1.291,0.612
456633,1.445,2.035
458136,0.902,0.322
459663,1.656,2.186
461173,0.653,0.155
462702,1.936,2.344
464202,0.465,0.059
465912,2.349,1.933
467440,0.171,0.675
468965,2.091,1.497
470488,0.414,1.033
472019,1.775,1.095
473539,0.751,1.435
475072,1.376,0.702
476617,1.359,1.972
478126,0.953,0.354
479665,1.683,2.209
481173,0.645,0.147
482713,2.005,2.368
484216,0.374,0.022
485927,2.328,1.844
487453,0.238,0.780
488971,2.054,1.450
490487,0.413,1.032
492013,1.811,1.145
493529,0.684,1.361
495065,1.442,0.761
496617,1.342,1.972
498120,1.010,0.391
499666,1.711,2.220
501173,0.640,0.145
502699,1.930,2.341
504198,0.470,0.066
505897,2.394,2.023
507421,0.100,0.551
508925,2.279,1.786
510444,0.192,0.705
511970,2.077,1.472
513486,0.411,1.025
515013,1.819,1.155
516527,0.659,1.320
518059,1.482,0.792
519601,1.217,1.867
521118,1.051,0.425
522656,1.645,2.178
524163,0.708,0.190
525706,1.953,2.349
527211,0.385,0.032
528916,2.342,1.918
530443,0.180,0.684
531977,2.049,1.431
533497,0.471,1.094
535026,1.734,1.062
536544,0.769,1.447
538070,1.405,0.721
539609,1.282,1.924
541118,1.053,0.432
542654,1.620,2.171
544158,0.761,0.224
545709,1.957,2.354
547215,0.381,0.034
548907,2.356,1.961
550434,0.152,0.642
551954,2.149,1.581
553475,0.347,0.955
555006,1.859,1.203
556527,0.663,1.329
558057,1.495,0.805
559606,1.257,1.902
561108,1.121,0.479
562648,1.598,2.143
564160,0.722,0.200
565696,1.894,2.321
567197,0.462,0.067
568903,2.375,1.985
570441,0.180,0.690
571970,2.077,1.477
573491,0.447,1.064
575030,1.702,1.019
576548,0.822,1.500
578083,1.291,0.619
579632,1.450,2.053
581130,0.949,0.348
582674,1.765,2.254
584180,0.588,0.118
585720,2.034,2.382
587220,0.345,0.020
588924,2.309,1.850
590457,0.247,0.790
591992,1.950,1.319
593514,0.577,1.239
595054,1.535,0.843
596600,1.208,1.858
598109,1.102,0.457
599650,1.581,2.144
601155,0.764,0.215
602691,1.867,2.310
604196,0.498,0.075
605909,2.365,1.974
607432,0.137,0.614
608946,2.198,1.647
610469,0.302,0.877
611995,1.937,1.304
613509,0.552,1.207
615041,1.642,0.956
616589,1.109,1.778
618098,1.193,0.541
619648,1.561,2.122
621144,0.858,0.280
622689,1.845,2.302
624190,0.543,0.095
625889,2.405,2.064
627405,0.064,0.459
629144,0.894,0.310
630669,1.750,2.246
632194,0.526,0.090
633880,2.420,2.131
635384,0.015,0.368
637107,1.177,0.523
638639,1.553,2.117
640163,0.735,0.204
641674,1.794,2.270
643202,0.481,0.070
644913,2.364,1.959
646431,0.153,0.641
647985,2.011,1.397
649490,0.431,1.063
651031,1.723,1.044
652535,0.743,1.424
654082,1.364,0.678
655622,1.404,2.014
657133,0.954,0.357
658665,1.704,2.217
660176,0.662,0.160
661706,1.981,2.360
663221,0.371,0.027
664922,2.338,1.884
666437,0.181,0.687
667979,2.038,1.424
669492,0.457,1.101
671033,1.708,1.022
672537,0.776,1.453
674085,1.327,0.649
675613,1.358,1.978
677144,0.862,0.284
678672,1.765,2.251
680186,0.585,0.122
681690,1.895,2.323
683211,0.426,0.046
684901,2.383,2.014
686404,0.067,0.466
688138,0.947,0.343
689661,1.684,2.207
691182,0.603,0.132
692692,1.901,2.324
694216,0.408,0.039
695915,2.350,1.933
697424,0.133,0.605
698959,2.140,1.569
700463,0.303,0.885
701996,1.948,1.301
703493,0.486,1.123
705043,1.642,0.954
706575,1.055,1.717
708092,1.254,0.586
709617,1.376,1.992
711147,0.850,0.281
712670,1.776,2.260
714198,0.497,0.082
715903,2.383,1.999
717421,0.121,0.583
718955,2.158,1.597
720459,0.281,0.848
722002,1.913,1.259
723496,0.502,1.142
725039,1.654,0.974
726568,1.002,1.680
728088,1.291,0.613
729613,1.350,1.969
731133,0.961,0.350
732654,1.656,2.180
734175,0.657,0.159
735698,1.931,2.333
737205,0.443,0.052
738892,2.401,2.057
740393,0.038,0.404
742135,0.995,0.384
743677,1.795,2.270
745211,0.419,0.045
746907,2.371,1.973
748422,0.127,0.586
749965,2.110,1.521
751465,0.325,0.904
753005,1.896,1.238
754513,0.590,1.257
756064,1.465,0.774
757589,1.159,1.824
759114,1.100,0.467
760649,1.633,2.176
762172,0.673,0.166
763699,1.937,2.344
765222,0.354,0.021
766912,2.358,1.936
768435,0.175,0.680
769977,2.057,1.456
771481,0.407,1.028
773023,1.758,1.105
774534,0.749,1.428
776083,1.320,0.646
777610,1.326,1.955
779132,0.969,0.360
780652,1.640,2.175
782179,0.631,0.144
783692,1.895,2.315
785208,0.435,0.052
786899,2.389,2.018
788404,0.071,0.476
790152,0.858,0.283
791677,1.787,2.266
793200,0.481,0.067
801242,2.399,2.047
802911,2.361,1.955
804442,0.140,0.661
805959,2.139,1.572
807475,0.309,0.896
808998,1.938,1.294
810519,0.586,1.241
812048,1.609,0.918
813594,1.127,1.788
815110,1.120,0.481
816656,1.601,2.151
