Time (us),ADC1,ADC2
10252,1.743,0.735
13706,0.795,1.461
19735,0.995,1.655
29739,1.030,1.685
39734,1.003,1.661
49737,1.027,1.682
59734,1.000,1.657
69735,1.003,1.659
73056,2.382,2.028
89739,1.013,1.664
93050,2.391,2.053
99738,1.029,1.678
109736,1.004,1.660
119738,1.023,1.677
129735,1.006,1.656
139741,1.053,1.706
143093,2.316,1.873
159736,1.017,1.674
163158,2.431,2.221
169732,0.992,1.652
179740,1.038,1.690
189738,1.023,1.683
199737,1.016,1.671
209733,0.998,1.652
213067,2.355,1.976
229735,1.006,1.659
233126,2.429,2.208
239739,1.032,1.694
249737,1.014,1.673
259736,1.007,1.669
269734,0.999,1.657
279740,1.045,1.697
283125,2.432,2.223
299733,0.992,1.646
303057,2.372,2.020
309732,0.988,1.638
319736,1.006,1.665
329740,1.045,1.702
339738,1.023,1.682
349734,0.999,1.659
353131,2.128,1.581
369734,1.001,1.652
373055,2.390,2.027
379734,1.002,1.661
389739,1.028,1.681
399737,1.021,1.677
409733,0.993,1.649
419735,1.016,1.672
423106,2.288,1.803
439735,1.003,1.660
443025,2.426,2.172
449735,1.016,1.669
459737,1.011,1.664
469736,1.007,1.664
479734,0.991,1.651
489733,1.004,1.655
493115,2.211,1.695
