Time (us),ADC1,ADC2
9562,0.045,0.167
11475,0.118,0.000
13097,2.352,1.933
14763,0.994,1.660
16434,0.221,0.000
18075,2.410,2.075
19731,0.785,1.463
59497,0.060,0.009
61517,0.005,0.081
63525,0.003,0.098
65536,0.000,0.155
67150,2.151,1.592
68798,1.294,1.924
70456,0.153,0.000
72701,0.435,1.069
74382,0.534,0.098
76267,1.439,0.749
77956,2.259,2.424
79614,0.132,0.596
81298,1.154,0.502
82969,2.321,2.413
85237,1.730,1.043
86884,1.894,2.322
88555,0.000,0.210
90156,2.100,1.511
91797,1.244,1.894
93440,0.203,0.000
95080,2.399,2.051
97336,0.976,0.361
99008,2.409,2.334
100676,0.400,1.011
102339,0.811,0.247
104019,2.421,2.314
105658,0.325,0.908
107328,0.916,0.334
109611,0.060,0.468
111527,0.000,0.111
113122,2.257,1.754
114774,1.077,1.741
116410,0.357,0.020
118278,1.354,0.684
120582,0.005,0.292
122524,0.005,0.098
124538,0.000,0.152
126158,2.106,1.529
127811,1.388,1.991
129478,0.081,0.005
131485,0.072,0.017
134067,2.431,2.198
135721,0.712,1.384
137410,0.381,0.022
139280,1.349,0.680
140944,2.227,2.418
142608,0.096,0.524
144511,0.020,0.055
147092,2.398,2.066
148753,0.936,1.619
150436,0.232,0.000
152068,2.413,2.088
153732,0.765,1.441
155408,0.358,0.028
157271,1.407,0.724
159574,0.000,0.260
161182,1.983,1.342
162841,1.581,2.139
164480,0.062,0.018
166463,0.141,0.000
168106,2.335,1.902
170363,0.794,0.211
172037,2.436,2.240
173699,0.541,1.189
175366,0.624,0.144
177049,2.431,2.187
178702,0.586,1.243
180382,0.541,0.100
182643,0.166,0.671
184316,1.005,0.391
186000,2.390,2.363
187649,0.273,0.842
189333,0.889,0.304
191007,2.410,2.330
192668,0.358,0.950
194953,2.166,2.419
196608,0.102,0.546
198280,1.289,0.611
199956,2.278,2.422
201612,0.105,0.550
203274,1.305,0.636
204951,2.238,2.422
207205,1.934,1.277
208857,1.708,2.222
210522,0.000,0.110
212128,2.236,1.717
