Time (us),ADC1,ADC2
213786,1.167,1.821
215429,0.245,0.000
217676,0.309,0.901
219352,0.730,0.205
221020,2.425,2.306
222660,0.312,0.917
224334,0.881,0.298
225998,2.397,2.362
227659,0.301,0.884
229939,2.110,2.408
231588,0.055,0.424
233503,0.044,0.039
235470,0.121,0.000
237098,2.359,1.948
238755,0.961,1.637
240447,0.185,0.000
242693,0.401,1.024
244364,0.656,0.159
246055,2.434,2.165
247706,0.599,1.259
249398,0.448,0.057
251253,1.549,0.868
252926,2.140,2.413
255193,2.011,1.377
256844,1.619,2.161
258514,0.014,0.069
260482,0.084,0.009
262483,0.083,0.008
264493,0.052,0.027
267079,2.415,2.135
268735,0.816,1.494
270430,0.273,0.003
272321,1.029,0.412
273991,2.383,2.376
275653,0.275,0.833
277328,0.896,0.310
279620,0.081,0.509
281535,0.000,0.142
283143,2.167,1.612
284795,1.238,1.884
286431,0.235,0.000
288075,2.408,2.084
289720,0.707,1.377
292011,2.379,2.367
293662,0.322,0.917
295333,0.884,0.308
297003,2.405,2.347
298661,0.284,0.894
300331,0.875,0.296
302014,2.419,2.329
304270,1.480,0.780
305949,2.243,2.422
307607,0.093,0.527
309511,0.029,0.055
311485,0.077,0.008
313496,0.042,0.034
316081,2.422,2.123
317718,0.692,1.367
319411,0.372,0.027
321264,1.473,0.783
322937,2.194,2.419
324603,0.083,0.502
326490,0.071,0.011
329058,2.432,2.230
330699,0.558,1.214
332393,0.476,0.067
334253,1.550,0.862
335926,2.143,2.417
337590,0.047,0.423
339496,0.057,0.023
342063,2.432,2.211
343715,0.668,1.340
345406,0.399,0.036
347275,1.383,0.705
348949,2.249,2.417
350609,0.088,0.537
353102,2.386,1.990
354760,1.000,1.675
356460,0.132,0.000
358085,2.382,2.002
359740,0.819,1.492
361408,0.363,0.026
363285,1.299,0.617
365588,0.011,0.312
367477,0.107,0.001
369356,0.787,0.234
371026,2.427,2.272
372681,0.429,1.054
374355,0.702,0.185
376038,2.427,2.244
378295,1.309,0.619
379980,2.348,2.386
381649,0.257,0.804
383320,0.955,0.358
385007,2.398,2.349
386662,0.347,0.932
388344,0.802,0.252
390634,0.133,0.612
392303,1.094,0.461
393986,2.361,2.393
395638,0.225,0.760
397328,0.917,0.312
399002,2.403,2.349
401278,1.442,0.741
402945,2.222,2.423
404606,0.085,0.509
406503,0.039,0.034
408467,0.147,0.000
410109,2.328,1.868
411757,0.973,1.650
414058,2.431,2.221
415706,0.592,1.259
417388,0.508,0.082
419247,1.596,0.907
420925,2.129,2.411
422582,0.026,0.376
424482,0.093,0.000
426940,2.090,2.401
428592,0.042,0.417
430506,0.032,0.037
432470,0.118,0.000
434103,2.347,1.922
435752,0.947,1.612
437439,0.220,0.000
482480,0.132,0.000
484107,2.322,1.880
485761,0.982,1.651
487438,0.209,0.000
489088,2.383,2.005
490737,0.824,1.502
493029,2.426,2.318
494686,0.464,1.098
496380,0.555,0.107
498041,2.436,2.212
499708,0.590,1.259
501387,0.487,0.076
503269,1.421,0.739
505561,0.000,0.208
507175,2.021,1.404
508823,1.452,2.049
510465,0.106,0.000
512094,2.370,1.973
513745,0.887,1.562
515432,0.265,0.002
517881,1.751,2.250
519525,0.000,0.139
521148,2.162,1.607
522787,1.195,1.852
524437,0.224,0.000
526066,2.415,2.103
528322,1.102,0.453
529988,2.375,2.386
531654,0.282,0.851
533319,0.966,0.364
535004,2.397,2.355
536652,0.294,0.863
538326,0.933,0.352
540606,0.041,0.420
542518,0.013,0.081
544476,0.100,0.000
546105,2.343,1.907
547758,0.984,1.655
549453,0.158,0.000
551089,2.381,1.972
553366,0.767,0.213
555044,2.431,2.208
556703,0.570,1.224
558374,0.573,0.115
560055,2.430,2.165
561707,0.623,1.288
563397,0.453,0.059
565870,1.681,2.212
567517,0.001,0.106
569447,0.232,0.000
571077,2.400,2.042
572726,0.717,1.392
574397,0.428,0.049
576873,1.701,2.226
578528,0.000,0.138
580150,2.150,1.581
581783,1.180,1.832
583441,0.204,0.000
585061,2.419,2.122
586714,0.634,1.301
588995,2.333,2.396
590640,0.231,0.776
592321,0.977,0.372
593990,2.370,2.379
595657,0.293,0.867
597319,0.960,0.356
599010,2.409,2.338
601273,1.490,0.792
602950,2.245,2.422
604607,0.096,0.528
606520,0.004,0.071
608517,0.021,0.065
610487,0.059,0.020
612467,0.132,0.000
614716,0.540,1.204
616397,0.438,0.053
618276,1.359,0.686
619974,2.325,2.410
621618,0.144,0.615
623293,1.192,0.530
625572,0.000,0.255
627183,1.970,1.337
628842,1.598,2.145
630485,0.055,0.020
632466,0.122,0.000
634092,2.377,1.982
635748,0.905,1.597
638053,2.436,2.238
639714,0.656,1.322
641402,0.419,0.045
643269,1.431,0.746
644940,2.212,2.422
646594,0.059,0.447
648508,0.039,0.039
651073,2.431,2.159
652723,0.729,1.399
654417,0.312,0.019
656283,1.326,0.653
657954,2.266,2.421
659624,0.149,0.639
661908,1.924,2.338
663573,0.020,0.342
665489,0.072,0.015
667429,0.298,0.002
669322,1.016,0.397
671007,2.409,2.344
672656,0.310,0.893
674950,2.158,2.412
676600,0.076,0.486
678526,0.012,0.080
680485,0.080,0.009
682499,0.039,0.037
684477,0.103,0.003
686361,0.724,0.199
688653,0.181,0.738
690332,0.869,0.291
692022,2.433,2.305
693669,0.377,0.994
695360,0.695,0.182
697034,2.432,2.243
698696,0.523,1.170
700982,2.302,2.416
702630,0.176,0.691
704320,0.986,0.377
705995,2.386,2.366
707658,0.298,0.876
709341,0.798,0.237
711635,0.131,0.603
713301,1.112,0.469
714988,2.365,2.390
716631,0.193,0.713
718315,1.023,0.409
719987,2.369,2.387
721663,0.332,0.917
723944,2.139,2.415
725599,0.076,0.487
727518,0.007,0.075
729529,0.000,0.116
731142,2.187,1.641
732793,1.249,1.891
734452,0.165,0.000
736691,0.394,1.017
738370,0.608,0.136
740060,2.424,2.132
741707,0.618,1.283
743394,0.470,0.064
745258,1.513,0.819
746929,2.158,2.416
749204,1.947,1.296
750864,1.764,2.252
752522,0.000,0.109
754127,2.241,1.720
755773,1.071,1.738
757416,0.312,0.014
759875,1.716,2.232
761526,0.000,0.143
763142,2.187,1.639
764791,1.234,1.882
766445,0.188,0.000
768075,2.404,2.051
769729,0.745,1.421
771997,2.345,2.403
773641,0.243,0.787
775327,0.928,0.339
776995,2.388,2.370
778670,0.368,0.966
780344,0.774,0.233
782018,2.414,2.311
784272,1.497,0.800
785950,2.244,2.420
787597,0.064,0.467
789515,0.021,0.063
791485,0.075,0.005
793492,0.054,0.031
795462,0.136,0.000
797717,0.546,1.209
799404,0.403,0.039
801266,1.434,0.758
802951,2.241,2.422
804591,0.061,0.450
806480,0.098,0.002
809098,2.394,2.028
810742,0.861,1.536
812425,0.295,0.007
814330,0.968,0.356
815997,2.389,2.364
817667,0.347,0.949
819353,0.711,0.187
821641,0.145,0.651
823315,0.999,0.389
825012,2.415,2.332
826651,0.285,0.850
828333,0.885,0.302
830007,2.412,2.335
831666,0.348,0.947
833946,2.148,2.419
835605,0.089,0.523
837528,0.001,0.094
839532,0.000,0.131
841151,2.146,1.581
844393,1.272,1.905
846055,2.431,2.167
848307,1.203,0.535
849986,2.360,2.390
851652,0.270,0.830
853314,0.997,0.382
855001,2.398,2.361
856651,0.284,0.852
858949,2.149,2.419
860606,0.097,0.531
862522,0.010,0.081
864478,0.100,0.007
866349,0.810,0.256
868035,2.432,2.253
869689,0.509,1.142
936136,2.295,1.795
937794,1.248,1.894
939467,0.108,0.000
941091,2.364,1.963
942755,0.927,1.601
944426,0.259,0.000
946676,0.322,0.912
948352,0.727,0.193
950045,2.424,2.209
951696,0.551,1.203
953377,0.576,0.118
955039,2.431,2.221
956698,0.529,1.186
958996,2.340,2.403
960652,0.283,0.833
962337,0.851,0.281
964010,2.416,2.325
965671,0.376,0.978
967340,0.824,0.251
969020,2.422,2.306
971269,1.488,0.785
972949,2.242,2.426
974612,0.110,0.551
976264,1.378,0.703
977947,2.219,2.422
979596,0.071,0.480
981506,0.025,0.045
984085,2.417,2.101
985725,0.739,1.425
987416,0.343,0.009
989310,1.118,0.480
990971,2.328,2.409
992629,0.171,0.670
994905,1.904,2.332
996559,0.001,0.271
998495,0.066,0.016
1000466,0.128,0.000
1002104,2.333,1.910
1003753,0.953,1.627
1005435,0.238,0.000
1007675,0.302,0.894
1009358,0.691,0.178
1011039,2.433,2.239
1012681,0.454,1.083
1014369,0.614,0.142
1016035,2.432,2.226
1018314,1.141,0.480
1019985,2.360,2.390
1021644,0.242,0.773
1023307,1.050,0.429
1024994,2.378,2.377
1026650,0.284,0.848
1028338,0.841,0.280
1030630,0.108,0.579
1032298,1.138,0.490
1033993,2.377,2.382
1035644,0.256,0.808
1037325,0.947,0.342
1038993,2.388,2.368
1041266,1.508,0.806
1042946,2.228,2.416
1044606,0.089,0.520
1046501,0.042,0.032
1048471,0.136,0.000
1050115,2.304,1.835
1052366,0.761,0.215
1054042,2.433,2.216
1055696,0.525,1.172
1057358,0.674,0.170
1059041,2.438,2.226
1060690,0.504,1.144
1062364,0.663,0.159
1064649,0.190,0.718
1066330,0.895,0.305
1068008,2.406,2.344
1069655,0.304,0.885
1071334,0.871,0.293
1073006,2.411,2.336
1075283,1.395,0.704
1076957,2.274,2.424
1078628,0.142,0.665
1080299,1.111,0.470
1081977,2.337,2.408
1083626,0.177,0.675
1085306,1.082,0.448
1087590,0.022,0.348
1089505,0.029,0.048
1091480,0.084,0.001
1093489,0.056,0.023
1095451,0.192,0.000
1097097,2.371,1.952
1099368,0.746,0.209
1101043,2.433,2.212
1102698,0.534,1.180
1104373,0.580,0.122
1106036,2.426,2.250
1107674,0.414,1.032
1109967,2.237,2.413
1111625,0.165,0.663
1113313,1.035,0.412
1114979,2.354,2.397
1116645,0.246,0.786
1118318,0.962,0.365
1120003,2.401,2.353
1122262,1.568,0.852
1123947,2.236,2.425
1125614,0.116,0.570
1127263,1.384,0.707
1128950,2.238,2.425
1130604,0.098,0.533
1133127,2.306,1.832
1134775,1.119,1.778
1136442,0.206,0.000
1138069,2.415,2.083
1139727,0.726,1.404
1141393,0.449,0.050
1143256,1.511,0.828
1145548,0.000,0.157
1147160,2.093,1.507
1148819,1.429,2.026
1150459,0.121,0.000
1152087,2.382,2.003
1153723,0.733,1.408
1156012,2.388,2.366
1157669,0.376,0.978
1159362,0.675,0.172
1161019,2.430,2.295
1162679,0.420,1.045
1164347,0.751,0.217
1166627,0.103,0.563
1168278,1.286,0.613
1169965,2.295,2.419
1171613,0.125,0.587
1173282,1.272,0.600
1174952,2.260,2.424
1176609,0.099,0.534
1179130,2.299,1.814
1180780,1.154,1.812
1182432,0.253,0.000
1184057,2.421,2.134
1185706,0.588,1.245
1187383,0.511,0.084
1189870,1.673,2.187
1191530,0.000,0.158
1193159,2.105,1.519
1194798,1.294,1.919
1196452,0.165,0.000
1198076,2.393,2.046
1199738,0.805,1.487
1202022,2.404,2.348
1203669,0.386,0.986
1205353,0.734,0.202
1207013,2.416,2.314
1208672,0.380,0.983
1210339,0.813,0.254
1212618,0.074,0.494
1214528,0.000,0.111
1216122,2.250,1.745
1217776,1.101,1.755
1219417,0.322,0.008
1221318,1.042,0.417
1223612,0.048,0.466
1225529,0.000,0.122
1227122,2.256,1.754
1228782,1.136,1.795
1230428,0.249,0.000
1232066,2.422,2.121
1233697,0.558,1.210
1235985,2.303,2.405
1237630,0.185,0.695
1239319,0.994,0.382
1240981,2.359,2.395
1242643,0.227,0.773
1244310,1.025,0.407
1246600,0.038,0.404
1248500,0.048,0.021
1250472,0.120,0.001
1252364,0.688,0.178
1254051,2.431,2.177
1255689,0.506,1.149
1257380,0.555,0.109
1259662,0.245,0.802
1261330,0.892,0.309
1263020,2.424,2.306
1264667,0.368,0.980
1266355,0.726,0.196
1268027,2.427,2.270
1270305,1.211,0.540
1271981,2.353,2.399
1273654,0.280,0.843
1275328,0.891,0.307
1277011,2.414,2.335
1278663,0.358,0.956
1280967,2.237,2.425
1282625,0.167,0.658
1284308,1.072,0.443
1285973,2.335,2.403
1287636,0.203,0.718
1289306,1.053,0.429
1290992,2.376,2.383
1293256,1.580,0.883
1294944,2.228,2.425
1296610,0.098,0.545
1298532,0.001,0.103
1300443,0.241,0.000
1302070,2.408,2.078
1372104,2.386,1.982
1373765,1.030,1.699
1375425,0.295,0.005
1377321,1.031,0.407
1378988,2.378,2.379
1380655,0.285,0.849
1382947,2.144,2.420
1384605,0.096,0.526
1386508,0.030,0.044
1388487,0.085,0.008
1390501,0.034,0.043
1392461,0.151,0.000
1394097,2.362,1.953
1396351,0.868,0.284
1398029,2.431,2.267
1399693,0.507,1.146
1401365,0.632,0.144
1403041,2.435,2.223
1404688,0.502,1.132
1406977,2.289,2.420
1408644,0.223,0.798
1410333,0.881,0.299
1412010,2.419,2.325
1413675,0.394,1.007
1415339,0.800,0.254
1417031,2.433,2.269
1419302,1.244,0.570
1420974,2.329,2.404
1422640,0.221,0.747
1424303,1.079,0.453
1425985,2.361,2.396
1427633,0.204,0.724
1429931,2.072,2.398
1431578,0.024,0.373
1433491,0.067,0.016
1435453,0.180,0.000
1437101,2.349,1.923
1438755,0.967,1.642
1441054,2.429,2.233
1442704,0.589,1.248
1444397,0.451,0.059
1446265,1.460,0.778
1447937,2.187,2.422
1449609,0.099,0.539
1451517,0.008,0.074
1454119,2.346,1.911
1455773,1.105,1.767
1457440,0.210,0.000
1459067,2.412,2.092
1460723,0.704,1.378
1462394,0.443,0.055
1464874,1.711,2.232
1466520,0.000,0.116
1468140,2.198,1.649
1469794,1.271,1.906
1471446,0.194,0.000
1473070,2.411,2.079
1474718,0.669,1.338
1476995,2.336,2.403
1478649,0.250,0.844
1480323,0.961,0.359
1481995,2.394,2.360
1483642,0.229,0.768
1485315,0.985,0.377
1487609,0.050,0.436
1489504,0.033,0.046
1491463,0.145,0.000
1493105,2.331,1.896
1494753,0.957,1.632
1496435,0.238,0.000
1498678,0.293,0.914
1500354,0.718,0.193
1502044,2.430,2.211
1503691,0.518,1.163
1505377,0.573,0.114
1507039,2.435,2.220
1508711,0.620,1.287
1510995,2.342,2.398
1512648,0.260,0.814
1514328,0.918,0.331
1515986,2.372,2.379
1517648,0.258,0.813
1519321,0.942,0.346
1521617,0.074,0.497
1523516,0.007,0.074
1525521,0.000,0.100
1527124,2.263,1.761
1528780,1.161,1.817
1530442,0.205,0.000
1532067,2.412,2.095
1534329,1.038,0.400
1536014,2.419,2.317
1537680,0.426,1.050
1539346,0.753,0.215
1541023,2.432,2.296
1542672,0.409,1.023
1544959,2.212,2.419
1546613,0.125,0.581
1548288,1.226,0.564
1549959,2.287,2.421
1551624,0.152,0.634
1553293,1.155,0.507
1555592,0.021,0.354
1557481,0.091,0.001
1559490,0.064,0.020
1561472,0.103,0.001
1563358,0.756,0.219
1565049,2.427,2.182
1566696,0.545,1.203
1568995,2.343,2.401
1570641,0.236,0.774
1572328,0.914,0.332
1573988,2.375,2.381
1575656,0.295,0.859
1577333,0.848,0.276
1579638,0.139,0.647
1581309,1.051,0.425
1582985,2.359,2.393
1584638,0.232,0.768
1586329,0.911,0.328
1587988,2.377,2.382
1589660,0.322,0.896
1591940,2.112,2.408
1593591,0.055,0.444
1595506,0.033,0.044
1597478,0.104,0.002
1599321,1.022,0.402
1600999,2.379,2.366
1603269,1.497,0.795
1604955,2.266,2.419
1606623,0.149,0.637
1608290,1.178,0.526
1609977,2.331,2.408
1611625,0.175,0.679
1613918,2.004,2.374
1615572,0.020,0.338
1617487,0.076,0.008
1619499,0.040,0.034
1621462,0.146,0.000
1623108,2.332,1.884
1624761,1.014,1.686
1627030,2.416,2.323
1628682,0.453,1.078
1630374,0.589,0.125
1632039,2.432,2.218
1633701,0.550,1.209
1635378,0.534,0.094
1637859,1.612,2.155
1639515,0.002,0.103
1641437,0.263,0.000
1643068,2.415,2.086
1644729,0.749,1.425
1646401,0.401,0.032
1648262,1.467,0.782
1650564,0.000,0.221
1652173,2.026,1.405
1653825,1.475,2.063
1655459,0.118,0.000
1657094,2.366,1.970
1658738,0.839,1.519
1661039,2.418,2.281
1662691,0.507,1.148
1664376,0.579,0.120
1666039,2.433,2.220
1667697,0.535,1.180
1669370,0.586,0.125
1671649,0.179,0.710
1673325,0.924,0.340
1675004,2.403,2.354
1676649,0.280,0.841
1678326,0.933,0.342
1679998,2.401,2.352
1681651,0.270,0.829
1683933,2.088,2.403
1685585,0.042,0.408
1687497,0.055,0.026
1689472,0.111,0.000
1691099,2.354,1.936
1692749,0.926,1.607
1695052,2.431,2.239
1696707,0.607,1.256
1698396,0.457,0.060
1700276,1.374,0.695
1701955,2.272,2.425
1703620,0.137,0.609
1705282,1.238,0.577
1707585,0.001,0.317
1709527,0.001,0.107
1711442,0.249,0.000
1713069,2.411,2.080
1714719,0.679,1.344
1716397,0.426,0.049
1718881,1.758,2.259
1720537,0.000,0.190
1722158,2.101,1.521
1723788,1.213,1.866
1725446,0.190,0.000
1727080,2.392,2.021
1729343,0.926,0.312
1731012,2.409,2.320
1732676,0.405,1.015
1734336,0.825,0.264
1736016,2.417,2.319
1737658,0.325,0.910
1739344,0.801,0.248
1777645,0.160,0.672
1779329,0.880,0.299
1782535,0.000,0.155
1784142,2.170,1.619
1785802,1.290,1.919
1787446,0.165,0.000
1789697,0.420,1.051
1791353,0.712,0.193
1793031,2.431,2.265
1794674,0.413,1.028
1796349,0.767,0.223
1798016,2.427,2.304
1800276,1.451,0.753
1801945,2.233,2.426
1803607,0.098,0.530
1805513,0.022,0.064
1807483,0.083,0.011
1809438,0.223,0.000
1811692,0.397,1.027
1813379,0.548,0.102
1815055,2.424,2.166
1816703,0.595,1.258
1818396,0.453,0.058
1820267,1.440,0.752
1821937,2.187,2.418
1824217,1.855,1.187
1825876,1.842,2.297
1827544,0.000,0.199
1829164,2.050,1.447
1830817,1.408,2.013
1832453,0.136,0.000
1834705,0.488,1.138
1836382,0.527,0.081
1838253,1.531,0.846
1839946,2.221,2.424
1841588,0.053,0.437
1843493,0.058,0.022
1845466,0.128,0.000
1847710,0.508,1.164
1849399,0.424,0.042
1851277,1.356,0.674
1852959,2.270,2.423
1854611,0.121,0.582
1856274,1.337,0.658
1858557,0.000,0.175
1860176,2.007,1.387
1861824,1.463,2.051
1863460,0.113,0.000
1865095,2.366,1.960
1866742,0.872,1.546
1869042,2.431,2.276
1870701,0.569,1.213
1872385,0.522,0.089
1874253,1.547,0.852
1875921,2.122,2.400
1877576,0.021,0.352
1879473,0.114,0.000
1881704,0.471,1.116
1883374,0.584,0.116
1885055,2.427,2.155
1886697,0.553,1.207
1888376,0.574,0.120
1890043,2.432,2.200
1892320,1.095,0.450
1893991,2.378,2.381
1895658,0.308,0.884
1897333,0.856,0.283
1899026,2.425,2.286
1900681,0.453,1.087
1902366,0.651,0.157
1904643,0.166,0.670
1906315,1.006,0.396
1908001,2.398,2.359
1909661,0.348,0.933
1911348,0.774,0.231
1913011,2.417,2.325
1915280,1.391,0.705
1916960,2.286,2.422
1918628,0.150,0.663
1920297,1.124,0.481
1921975,2.330,2.411
1923623,0.161,0.659
1925911,1.949,2.353
1927579,0.031,0.374
1929496,0.055,0.025
1931470,0.120,0.000
1933109,2.325,1.874
1934760,1.008,1.681
1936419,0.322,0.015
1938851,1.549,2.127
1940506,0.008,0.075
1942529,0.000,0.125
1944142,2.184,1.639
1945796,1.287,1.920
1947452,0.164,0.000
1949705,0.479,1.126
1951388,0.491,0.078
1953268,1.421,0.740
1954943,2.199,2.420
1956584,0.045,0.420
1958495,0.066,0.020
1960469,0.122,0.000
1962704,0.470,1.116
1964378,0.548,0.107
1966051,2.431,2.180
1967699,0.574,1.222
1969392,0.478,0.071
1971265,1.456,0.773
1973549,0.000,0.168
1975164,2.075,1.476
1976816,1.399,2.010
1978468,0.109,0.000
1980106,2.329,1.889
1981752,0.956,1.631
1984044,2.430,2.269
1985710,0.630,1.293
1987390,0.488,0.068
1989255,1.526,0.841
1990921,2.122,2.409
1992580,0.031,0.372
1994478,0.105,0.001
1996953,2.165,2.416
1998608,0.095,0.562
2000522,0.007,0.081
2002528,0.000,0.120
2004141,2.185,1.637
2005789,1.227,1.873
2008063,2.431,2.195
2009714,0.659,1.326
2011406,0.397,0.036
2013277,1.363,0.686
2014954,2.263,2.423
2016611,0.107,0.553
2018267,1.347,0.679
2020569,0.000,0.251
2022185,1.956,1.322
2023840,1.581,2.136
2025482,0.063,0.020
2027467,0.126,0.000
2029117,2.295,1.821
2031380,0.664,0.159
2033059,2.420,2.129
2034712,0.636,1.300
2036373,0.573,0.114
2038049,2.437,2.187
2039709,0.634,1.307
2042004,2.368,2.385
2043673,0.400,1.011
2045356,0.712,0.194
2047017,2.418,2.299
2048686,0.464,1.093
2050360,0.662,0.164
2052046,2.433,2.209
2054307,1.207,0.532
2055979,2.348,2.398
2057650,0.264,0.823
2059324,0.912,0.329
2061008,2.410,2.338
2062659,0.336,0.924
2064945,2.147,2.415
2066598,0.067,0.487
2068508,0.038,0.039
2070481,0.085,0.001
2072493,0.052,0.022
2074460,0.147,0.000
2076105,2.337,1.895
2078360,0.807,0.242
2080042,2.433,2.217
2081699,0.543,1.195
2083366,0.618,0.141
2085047,2.436,2.187
2086702,0.593,1.248
2089005,2.371,2.383
2090656,0.305,0.883
2092343,0.807,0.254
2094008,2.415,2.332
2095667,0.349,0.947
2097338,0.817,0.257
2099638,0.138,0.632
2101323,0.933,0.344
2103008,2.411,2.342
2104650,0.275,0.855
2106342,0.809,0.255
2108016,2.425,2.306
2109680,0.429,1.050
2111962,2.228,2.427
2113609,0.104,0.551
2115279,1.293,0.616
2116954,2.269,2.420
2118618,0.107,0.597
2120282,1.231,0.573
2122577,0.003,0.276
2124495,0.045,0.022
2126463,0.139,0.000
2128106,2.335,1.894
2129762,1.024,1.694
2131424,0.297,0.007
2133325,1.000,0.385
2135604,0.043,0.418
2137517,0.010,0.079
2139466,0.135,0.000
2141110,2.322,1.866
2142757,0.982,1.661
2144450,0.177,0.000
2177146,2.237,1.698
2178801,1.311,1.939
2180463,0.121,0.000
2182088,2.375,1.979
2183755,0.932,1.617
2185430,0.237,0.000
2187686,0.383,0.996
2189376,0.563,0.103
2191051,2.427,2.175
2192700,0.570,1.228
2194381,0.545,0.099
2196252,1.543,0.859
2197920,2.118,2.404
2200195,2.002,1.348
2201837,1.580,2.133
2203508,0.010,0.056
2205458,0.154,0.000
2207095,2.365,1.961
2208753,0.954,1.630
2211050,2.432,2.246
2212697,0.541,1.195
2214378,0.564,0.109
2216038,2.435,2.222
2217698,0.536,1.181
2219373,0.575,0.115
2221647,0.186,0.712
2223327,0.900,0.327
2225003,2.403,2.354
2226649,0.275,0.844
2228338,0.839,0.272
2230008,2.415,2.330
2231673,0.391,1.000
2233950,2.159,2.420
2235611,0.116,0.571
2237278,1.292,0.628
2238963,2.294,2.417
2240627,0.166,0.664
2242293,1.154,0.509
2244580,0.007,0.298
2246514,0.016,0.069
2248493,0.069,0.015
2250452,0.168,0.000
2252101,2.347,1.924
2253750,0.927,1.609
2255437,0.225,0.000
2257682,0.347,0.949
2259371,0.595,0.125
2261055,2.429,2.160
2262711,0.657,1.322
2264392,0.476,0.067
2266254,1.539,0.853
2268547,0.000,0.127
2270162,2.084,1.493
2271813,1.384,2.000
2273447,0.168,0.000
2275090,2.379,1.976
2276739,0.855,1.533
2279041,2.428,2.274
2280690,0.506,1.140
2282368,0.630,0.137
2284018,2.430,2.296
2285682,0.442,1.066
2287350,0.727,0.205
2289034,2.429,2.253
2291293,1.314,0.621
2292962,2.296,2.421
2294623,0.152,0.643
2296285,1.211,0.552
2297953,2.255,2.422
2299597,0.072,0.494
2302109,2.364,1.946
2303773,1.104,1.770
2305433,0.245,0.000
2307061,2.420,2.118
2308717,0.668,1.337
2310395,0.432,0.049
2312271,1.392,0.712
2314554,0.000,0.176
2316164,2.072,1.469
2317821,1.445,2.040
2319459,0.121,0.000
2321094,2.365,1.961
2322736,0.823,1.508
2325023,2.406,2.336
2326672,0.391,1.010
2328355,0.714,0.188
2330019,2.428,2.294
2331680,0.432,1.046
2333334,0.845,0.276
2335624,0.099,0.546
2337535,0.000,0.145
2339142,2.162,1.606
2340798,1.275,1.909
2342443,0.180,0.000
2344090,2.372,1.988
2345737,0.834,1.511
2348023,2.406,2.338
2349671,0.386,0.997
2351357,0.707,0.188
2353024,2.428,2.273
2354677,0.412,1.027
2356341,0.794,0.243
2358635,0.124,0.619
2360304,1.085,0.452
2361977,2.337,2.406
2363610,0.120,0.581
2365277,1.304,0.623
2366944,2.233,2.422
2368597,0.052,0.431
2371091,2.403,2.049
2372745,0.900,1.581
2374443,0.202,0.000
2376069,2.403,2.080
2377727,0.734,1.405
2379404,0.374,0.024
2381887,1.797,2.283
2383539,0.000,0.199
2385170,2.035,1.426
2386810,1.389,2.000
2388461,0.149,0.000
2390093,2.359,1.943
2392365,0.760,0.212
2394035,2.431,2.228
2395694,0.505,1.154
2397349,0.730,0.201
2399022,2.429,2.299
2400672,0.408,1.017
2402350,0.751,0.221
2404623,0.078,0.523
2406534,0.000,0.137
2408144,2.153,1.595
2409808,1.347,1.966
2411459,0.115,0.000
2413086,2.385,2.013
2415337,0.976,0.359
2417022,2.428,2.292
2418688,0.481,1.111
2420346,0.754,0.214
2422025,2.426,2.281
2423668,0.378,0.993
2425353,0.737,0.208
2427629,0.122,0.586
2429290,1.187,0.531
2430973,2.326,2.410
2432613,0.131,0.595
2434294,1.177,0.525
2435966,2.314,2.416
2438228,1.780,1.105
2439871,1.826,2.288
2441534,0.000,0.154
2443136,2.198,1.644
2444804,1.312,1.941
2446444,0.177,0.000
2448700,0.461,1.104
2450376,0.567,0.115
2452057,2.427,2.145
