Time (ms),ADC1,ADC2
6,0.967,1.948
8,0.000,0.242
9,2.046,1.427
11,1.443,2.050
13,0.175,0.000
14,2.397,2.029
16,0.772,1.462
18,0.417,0.038
86,1.822,2.287
88,0.000,0.135
89,2.271,1.757
91,0.975,1.664
93,0.275,0.000
94,2.425,2.132
96,0.557,1.222
97,0.662,0.151
100,0.135,0.629
101,0.947,0.332
103,2.416,2.325
105,0.459,1.104
107,0.526,0.083
108,1.581,0.874
110,2.243,2.416
112,0.133,0.618
114,2.037,2.393
116,0.093,0.530
118,0.005,0.098
120,0.000,0.274
121,1.882,1.211
123,1.760,2.261
125,0.000,0.205
126,2.033,1.410
129,0.203,0.000
130,2.314,1.838
132,1.180,1.844
134,0.110,0.000
135,2.317,1.840
137,1.176,1.841
139,0.144,0.000
140,2.332,1.869
143,0.518,0.077
144,1.355,0.660
146,2.368,2.384
148,0.355,0.967
149,0.684,0.166
151,2.426,2.132
153,0.782,1.481
155,0.223,0.000
157,0.519,1.206
159,0.436,0.045
160,1.346,0.660
162,2.366,2.388
164,0.366,0.984
165,0.678,0.164
167,2.422,2.134
169,0.730,1.419
171,2.426,2.259
173,0.695,1.384
175,0.256,0.000
176,2.372,1.962
178,0.932,1.623
180,0.151,0.000
181,2.322,1.853
183,1.081,1.762
185,2.427,2.129
187,0.840,1.528
189,0.173,0.000
190,2.339,1.894
192,1.102,1.780
194,0.219,0.000
195,2.361,1.938
197,1.059,1.742
199,2.432,2.167
201,0.801,1.492
203,0.237,0.000
204,2.368,1.952
206,1.032,1.718
208,0.231,0.000
209,2.382,1.986
211,0.962,1.652
213,2.423,2.121
215,0.824,1.519
217,0.192,0.000
218,2.341,1.894
220,1.083,1.742
222,0.177,0.000
223,2.349,1.923
225,1.025,1.711
227,2.428,2.187
229,0.797,1.488
231,0.208,0.000
232,2.343,1.912
234,1.052,1.730
236,0.235,0.000
237,2.359,1.923
239,1.100,1.774
241,2.429,2.120
243,0.902,1.599
245,0.175,0.000
246,2.310,1.826
248,1.084,1.766
250,0.175,0.000
251,2.339,1.881
253,1.070,1.758
255,2.426,2.115
257,0.949,1.637
259,0.116,0.000
260,2.292,1.801
262,1.139,1.810
264,0.146,0.000
265,2.303,1.823
267,1.147,1.823
269,2.420,2.122
271,0.806,1.501
273,0.210,0.000
274,2.359,1.923
276,1.072,1.751
278,0.221,0.000
279,2.392,2.003
281,0.934,1.629
283,2.427,2.100
285,0.817,1.509
287,0.182,0.000
288,2.326,1.863
290,1.040,1.724
292,0.232,0.000
293,2.352,1.930
295,1.035,1.724
297,2.433,2.214
299,0.734,1.427
301,0.269,0.000
302,2.378,1.974
304,0.975,1.669
306,0.081,0.007
308,0.054,0.023
310,0.076,0.005
312,2.314,1.835
314,1.340,1.976
316,0.043,0.027
318,0.090,0.004
320,0.039,0.037
322,0.056,0.022
324,0.095,0.002
326,0.165,0.000
328,0.652,1.369
330,0.240,0.000
331,2.367,1.953
333,0.990,1.687
335,0.127,0.000
336,2.284,1.798
338,1.181,1.846
340,0.128,0.000
342,0.639,1.356
344,0.258,0.000
345,2.370,1.962
347,1.065,1.749
349,0.187,0.000
350,2.350,1.914
352,1.029,1.719
354,0.209,0.000
356,0.570,1.283
358,0.364,0.021
359,1.281,0.591
361,2.382,2.367
363,0.379,1.011
365,0.581,0.114
366,2.422,2.117
368,0.754,1.447
370,2.436,2.222
372,0.768,1.459
374,0.200,0.000
375,2.359,1.936
377,1.061,1.740
379,0.187,0.000
380,2.342,1.898
382,1.141,1.812
384,2.433,2.158
386,0.863,1.557
388,0.180,0.000
389,2.315,1.836
391,1.082,1.758
393,0.171,0.000
394,2.339,1.889
396,1.203,1.857
398,2.419,2.088
400,0.966,1.653
402,0.125,0.000
403,2.317,1.839
405,1.139,1.811
407,0.151,0.000
408,2.316,1.850
410,1.171,1.835
412,2.432,2.157
414,0.830,1.524
416,0.208,0.000
417,2.353,1.919
419,1.056,1.741
421,0.235,0.000
422,2.379,1.973
424,1.072,1.754
426,2.436,2.192
428,0.809,1.510
430,0.258,0.000
431,2.376,1.969
433,0.978,1.671
435,0.123,0.000
436,2.328,1.867
438,1.170,1.839
440,2.415,2.064
442,0.983,1.673
444,0.128,0.000
445,2.272,1.756
447,1.246,1.907
449,0.089,0.005
451,0.072,0.012
453,0.153,0.000
455,0.681,1.398
457,0.198,0.000
458,2.334,1.890
460,1.041,1.729
462,0.223,0.000
463,2.377,1.975
465,1.091,1.764
467,0.165,0.000
469,0.548,1.242
471,0.339,0.014
472,1.404,0.707
474,2.310,2.415
476,0.212,0.747
477,0.870,0.281
479,2.433,2.256
481,0.563,1.231
483,2.403,2.340
485,0.479,1.129
487,0.434,0.037
488,1.321,0.631
490,2.335,2.404
492,0.284,0.862
493,0.755,0.207
495,2.431,2.161
497,0.899,0.298
499,2.429,2.160
501,0.764,1.452
503,0.239,0.000
504,2.382,1.990
506,0.957,1.649
508,0.153,0.000
509,2.308,1.823
512,0.506,0.067
513,1.364,0.677
515,2.354,2.383
517,0.352,0.955
519,0.662,0.155
520,2.429,2.184
522,0.712,1.407
524,0.292,0.000
557,1.315,0.608
559,2.354,2.387
561,0.292,0.887
562,0.694,0.174
564,2.430,2.164
566,0.802,1.500
568,0.215,0.000
569,2.360,1.944
572,0.628,0.129
573,2.403,2.041
575,0.872,1.576
577,0.131,0.000
578,2.303,1.830
580,1.128,1.799
582,0.142,0.000
583,2.310,1.832
586,0.440,0.044
587,1.282,0.594
589,2.365,2.380
591,0.374,0.989
593,0.611,0.115
594,2.429,2.183
596,0.717,1.408
598,0.259,0.000
600,0.520,1.211
602,0.454,0.053
603,1.405,0.712
605,2.286,2.416
